,away,home,away_score,home_score,over_under,year,month,day
0,Australia,Chinese Taipei,1,4,8.0,2013,03,01
1,Puerto Rico,Venezuela,6,3,8.5,2013,03,09
2,Canada,Mexico,10,3,9.5,2013,03,09
3,Dominican Republic,Puerto Rico,4,2,9.0,2013,03,10
4,USA,Canada,9,4,9.5,2013,03,10
5,Italy,Puerto Rico,3,4,8.5,2013,03,13
6,Dominican Republic,USA,3,1,9.0,2013,03,14
7,Puerto Rico,USA,4,3,8.5,2013,03,15
8,Toronto Blue Jays,Houston Astros,2,11,101.0,2013,03,17
9,Washington Nationals,Detroit Tigers,12,10,-145.0,2013,03,17
10,Tampa Bay Rays,Boston Red Sox,1,5,-130.0,2013,03,17
11,Cleveland Indians,Cincinnati Reds,7,7,-145.0,2013,03,17
12,Colorado Rockies,San Francisco Giants,7,9,-135.0,2013,03,17
13,Puerto Rico,Japan,3,1,-240.0,2013,03,17
14,St. Louis Cardinals,Miami Marlins,0,6,110.0,2013,03,17
15,New York Yankees,Pittsburgh Pirates,11,9,-110.0,2013,03,17
16,Atlanta Braves,New York Mets,2,1,-115.0,2013,03,17
17,Chicago White Sox,Kansas City Royals,0,10,-135.0,2013,03,17
18,San Diego Padres,Los Angeles Angels,4,7,-145.0,2013,03,17
19,Pittsburgh Pirates,Toronto Blue Jays,3,6,-160.0,2013,03,26
20,Baltimore Orioles,Minnesota Twins,5,9,-110.0,2013,03,26
21,St. Louis Cardinals,New York Mets,11,4,115.0,2013,03,26
22,Chicago White Sox,Texas Rangers,11,3,-145.0,2013,03,26
23,Oakland Athletics,Cleveland Indians,7,6,-120.0,2013,03,26
24,Cincinnati Reds,Chicago Cubs,11,1,-120.0,2013,03,26
25,Los Angeles Angels,Arizona Diamondbacks,1,7,-125.0,2013,03,26
26,Washington Nationals,Miami Marlins,5,8,115.0,2013,03,26
27,Atlanta Braves,Detroit Tigers,6,5,-125.0,2013,03,26
28,Tampa Bay Rays,Philadelphia Phillies,1,10,-140.0,2013,03,26
29,San Diego Padres,San Francisco Giants,2,4,-140.0,2013,03,26
30,Kansas City Royals,Seattle Mariners,11,6,-123.0,2013,03,26
31,Houston Astros,New York Yankees,4,4,-175.0,2013,03,26
32,Colorado Rockies,Los Angeles Dodgers,7,6,-150.0,2013,03,26
33,Texas Rangers,Houston Astros,2,8,8.5,2013,03,31
34,Colorado Rockies,Milwaukee Brewers,4,5,8.0,2013,04,01
35,Philadelphia Phillies,Atlanta Braves,5,7,7.0,2013,04,01
36,Kansas City Royals,Chicago White Sox,0,1,7.0,2013,04,01
37,Miami Marlins,Washington Nationals,0,2,7.0,2013,04,01
38,Chicago Cubs,Pittsburgh Pirates,3,1,7.0,2013,04,01
39,Boston Red Sox,New York Yankees,8,2,8.0,2013,04,01
40,Detroit Tigers,Minnesota Twins,4,2,7.0,2013,04,01
41,Seattle Mariners,Oakland Athletics,7,1,7.0,2013,04,02
42,Baltimore Orioles,Tampa Bay Rays,7,4,7.0,2013,04,02
43,Texas Rangers,Houston Astros,7,0,8.0,2013,04,02
44,Chicago Cubs,Pittsburgh Pirates,0,3,6.5,2013,04,03
45,Philadelphia Phillies,Atlanta Braves,2,9,7.0,2013,04,03
46,Texas Rangers,Houston Astros,4,0,8.5,2013,04,03
47,Colorado Rockies,Milwaukee Brewers,7,3,8.5,2013,04,03
48,Detroit Tigers,Minnesota Twins,2,3,8.5,2013,04,03
49,Boston Red Sox,New York Yankees,7,4,7.5,2013,04,03
50,Seattle Mariners,Oakland Athletics,2,6,7.5,2013,04,03
51,Los Angeles Angels,Cincinnati Reds,4,5,7.0,2013,04,03
52,San Diego Padres,New York Mets,2,1,7.5,2013,04,04
53,Philadelphia Phillies,Atlanta Braves,2,0,6.5,2013,04,04
54,Detroit Tigers,Minnesota Twins,2,8,8.5,2013,04,04
55,Baltimore Orioles,Tampa Bay Rays,6,3,8.0,2013,04,04
